Category,Message
1," assistance me  my name is mr . newton gwarada , the stepson of mr . terry ford of zimbabwe . it might be a surprise to you where i got your contact address ; i got it from the net . dont be worried because i am contacting you in good faith .  during the current crisis against the farmer of zimbabwe by the supporters of our president robert mugabe to claim all the white owned farms in our country , he ordered all the white farmers to surrender their farms to his party members and their followers .  my stepfather was one of the best farmer in the country and knowing that he did not support the president political ideology , the president supporters invaded my stepfather "" s farm and burnt down everything , killed him and confiscated all his investments .  after the death of my stepfather , my mother and i with my younger sister decided to move out of zimbabwe for the safety of our lives . we took along with us the money my stepfather kept in the safe in my mother ' s house which amounted to the sum of us $ 20 m ( twenty million united states dollars ) to the republic of south africa where we have deposited it as personal valuables in a private security company for safe - keeping .  because of our present status ( political refugees ) , my mother and i are sriously looking forward to having an overseas partner that will assist us with the convenient and legal transfer of the funds out of south africa .  if my proposition is considered , for assisting us to transfer this money to your country , we will offer you 20 % of the total fund , and 5 % of the total will be set aside to cover any expenses incurred during this transaction , 75 % will be for my family to invest . in your country under your supervision .  for detailed information , you can contact me direct .  i would appreciate confidentiality and honesty in our correspondence . your immediate response will be highly wecomed .  best regards ,  mr . newton gwarada"
1, normal  soft viagra at $ 1 . 62 per dose  ready to boost your sex life ? positive ?  time to do it right now !  order soft viagra at incredibly low prices  startinq at $ 1 . 99 per dose ! unbelivable !
0," 00 show , if that is ok with you . i always have so many  errands to run , i don ' t want to run late for the movie .  talk to you saturday a . m . - - 713 - 355 - 8311  jana"
1, esecure online pharmacies  cialis offers efficacy and spontaneity in your love life .  my music is best understood by children and animals .  one can acquire everything in solitude - except character .  people find life entirely too time - consuming .  the truth is more important than the facts .
1," 0 "" >  e - mail  marketing system  -  bulk e - mail will make you money so fast , your head will spin !  - customers say we would no longer be in business without it  - new package deal includes everything you need .  see this product ' s web page  click  here  1  million business leads on cd  -  for telemarketing , mailing , or faxing this list is a gold mine !  - contains company name , address , phone , fax , sic , size .  - list allows for unlimited use .  see this product ' s web page click  here  fax  marketing system  -  fax broadcasting is the hot new way to market your business !  - people are 10 times more likely to read faxes than direct mail .  - software 4 million leads turns your computer into a fax blaster .  see this product ' s web page click  here  visit  our web site or call 618 - 288 - 6661  to be taken off of  our list click here "
0,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?
1,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800
0,  1 . standardisation . ( java ? )  2 . security and confidentiality .  just a thought that ' s been buzzing around my head for a while .  steve
0,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.
1," rape ! ! .  rape sex !  click here  you must be at least 18 to enter !  to be removed from our "" in house "" mailing list  click here  and you will automatically be removed from future mailings .  you have received this email by either requesting more information  on one of our sites or someone may have used your email address .  if you received this email in error , please accept our apologies . "
0,"Yo, the game almost over? Want to go to walmart soon"
1,As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
0,Speak only when you feel your words are better than the silence... Gud mrng:-)
0,Got meh... When?
1,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p
0," referral  mr . kaminski ,  i have attached a resume below i thought you might find of interest , it is  from a business school acquaintance of mine , denis suvorov . denis is a  highly intelligent ph . d . candidate at my former school and is currently  looking for opportunities within a research / modelling framework . he has  significant academic experience working on asset pricing models and after  speaking with pavel zadorozhny about his background and objectives , he  recommended i forward a copy of his credentials to you .  i hope this is suitable and would be of interest to you .  thanks ,  matthew frank"
1,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow
1,RECPT 1/3. You have ordered a Ringtone. Your order is being processed...
1, save your money buy getting this thing here  you have not tried cialls yet ?  than you cannot even imagine what it is like to be a real man in bed !  the thing is that a great errrectlon is provided for you exactiy when you want .  cialis has a lot of advantages over viagra  - the effect iasts 36 hours !  - you are ready to start within just 10 minutes !  - you can mix it with alcohol ! we ship to any country !  get it right now ! . 
0," a request  > > >  > > >  > > > vince ,  > > >  > > > sorry that i missed your call yesterday . i have a meeting from 2 - 3  > today  > > > ( tuesday ) , but otherwise any time in the afternoon works for me . let me  > > > know what is convenient for you . thanks for your help .  > > >  > > > duane  > > >  > > > * * * * * * * *  > > > duane seppi  > > >  > > > graduate school of industrial administration  > > > carnegie mellon university  > > > pittsburgh pa 15213 - 3890  > > >  > > > tel . ( 412 ) 268 - 2298  > > > fax ( 412 ) 268 - 8896  > > >  > > > email ds 64 + @ andrew . cmu . edu  > > >  > > >  > > >  > > >  > > >  > >  > >  > >  > > * * * * * * * *  > > duane seppi  > >  > > graduate school of industrial administration  > > carnegie mellon university  > > pittsburgh pa 15213 - 3890  > >  > > tel . ( 412 ) 268 - 2298  > > fax ( 412 ) 268 - 8896  > >  > > email ds 64 + @ andrew . cmu . edu  > >  > >  > >  > >  > >  >  >  >  > * * * * * * * *  > duane seppi  >  > graduate school of industrial administration  > carnegie mellon university  > pittsburgh pa 15213 - 3890  >  > tel . ( 412 ) 268 - 2298  > fax ( 412 ) 268 - 8896  >  > email ds 64 + @ andrew . cmu . edu  >  >  >  >  >  * * * * * * * *  duane seppi  graduate school of industrial administration  carnegie mellon university  pittsburgh pa 15213 - 3890  tel . ( 412 ) 268 - 2298  fax ( 412 ) 268 - 8896  email ds 64 + @ andrew . cmu . edu"
0,No need for the drug anymore.
0, 00 pm .  please let me know if you are available during any of these times .  thanks !  shirley crenshaw  3 - 5290
0, / / www . people . hbs . edu / ptufano
1, 
1," how will this affect the reporting agency for each account you cancel .  why consolidate into a larger obligation or declare bankruptcy when you can  legally you ' ve avoided the pangs of starvation  for a time , anyhow , so i can leave you with a clear conscience . without more  ado , he turned the indicator of the traveling machine and mounted into the  air , leaving the turk sitting upon the rocks and staring after him in  comical bewilderment  15 ."
0," enron / globe  dear drs . roberts and benjamin ,  vince kaminski and i enjoyed and appreciated the opportunity to speak with  you this morning . enron is very happy to agree to participate in stanford ' s  globe project ( being conducted in partnership with mckinsey & company ) .  attached please find my business card with all of my contact information .  i look forward to hearing from dr . benjamin in the near future to begin  enron ' s involvement .  thank you !  - - christie ."
0," ? pricing and risk  management book , by clewlow and strickland and sponsored by enron corp . , ? is  completed . ? we will begin shipping 15 january , which will include  distributing ? your complimentary copy .  ?  thank you for your patience and support .  ?  sincerely ,  julie  ?  lacima group  ?  ?"
0," 00 pm molly mcgee ( hr recruiter )  have a safe trip .  regards ,  shirley crenshaw  ( 713 - 853 - 5290 )"
0,"  ( has a bit more on precip derivatives than usual , given the audience )  finally , according to our traders , cme trading activity is down to a couple  of deals a month .  i ' ll try to dig up some specific articles , but i suspect most of them are in  one way or another cme  press releases so that they will gloss over the low liquidity ."
1,"  maubev @ aliceposta . it ; failed ; 5 . 7 . 1 ( delivery not authorized , message refused )  maxdaffy @ aliceposta . it ; failed ; 5 . 7 . 1 ( delivery not authorized , message refused )"
1,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
0," maureen ' s expenses  it appears that administratively maureen ' s expenses in coming to london  cannot be processed from this office . can i confirm that there is no doubt  that the london office will pay these . could i therefore please ask shirley  to process them in houston , and we will find out how they can then be charged  back from research in houston to the london metals cost centre .  thanks in advance for you help .  tani nath"
